facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,commboard,nta,council,schooldist,censtract,factype,capacity,geometry,uid,latitude,longitude
'I CAN' COMMUNITY RESIDENCE,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),1d36f5a7773ff1775795aae01d92463f,,
'THE STUDIO SCHOOL',117,WEST 95 STREET,117 WEST 95 STREET,NEW YORK,10025.0,Manhattan,1.0,1032605.0,1012260025.0,107.0,MN12,6.0,24.0,018100,DAY CARE,,POINT (-73.96868686329741 40.7927250548505),f064e49c2b92f9dde031ca5af0574eba,40.7927250548505,-73.9686868632974
(BF) ICL SH/BRONX FORENSIC - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),650709c76167cca90f43b1670312f731,,
(BK) ICL SH/ST. MARKS III SH KINGS COUNTY - COMM SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),aa54263f67b92b0849119cec7c0dc3f2,,
(BX) ICL SH/BRONX-COMM. SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),afbede94d3dfe26cda0aab7a3fa831b6,,
(LS) ICL SH/LAWTON SCATTER-COMM. SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),3d60ddc3675c0527a38a2e6c03484219,,
(QU) ICL SH/QUEENS SUPPORTED HOUSING I - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),6d1de49b86c325b74d8df019fed318b0,,
(QU) ICL SH/QUEENS SUPPORTED HOUSING II - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),91a61b1b5274714e1b23214f4c23e58c,,
(QW) ICL SUPPORTED HOUSING/QUEENS - NY/NY III - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),f1445e47a0c067b04a1b5ea9948639fc,,
(S!) ICL SH/MANHATTAN - COMM. SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),97e4125b033479a0ffad0acd66189195,,
(S#) ICL SH/KPC KINGS - COMM. SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),e2d41968b7941eae3511d6324b1526f3,,
(S$) ICL SH/ST. MARK'S SCATTERED SITE - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),a1c3ae5ba8b55f9751393759667696b6,,
(S%) ICL SH/BROOKLYN SOUTH-COMM. SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),7bae51b76ed949696a36dcdb92f0ace9,,
(S') ICL SH/EMERSON SCATTERSITE - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),a11c3e544f4783e5529f5ef8697a1039,,
(S*) ICL SH/BROOKLYN NO. (EMERSON) - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),115e6f03cec726a11f0c4b46f07b8ebb,,
(S+) ICL SH/HUD IPS - COMM. SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),acedcaed482405635289ab2381a7be20,,
(S-) ICL SH/KPC KINGS - COMM.SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),ee74a803f24139841f972059eda5ef92,,
(S1) ICL SH/CATHEDRAL CONDO-BROOKLYN-COMM.SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),11f6fde9395f323c4dbf78f2c6c38e79,,
(S2) ICL SH/KINGS/CAP SCATTERSITE - COMM.SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),6dd02f6226ab3a0591d2541ca0dd8649,,
(S3) ICL SH/WASHINGTON AVE BROOKLYN-COMM.SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),ae6313814c186262fa546a79374f57ce,,
(S4) ICL SH/EMERSON PLACE BROOKLYN-COMM.SVCS.,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),031476fb0797dc1774f66b2ecdcdbbaf,,
(S5) ICL SH/WARREN STREET BROOKLYN-COMM.SVCS.-COMM.SVCS,,,,,,,,,,,,,,,RESIDENTIAL MENTAL HEALTH,,POINT (nan nan),deaa64332d67ec35a6a0cfbafcde0deb,,
